name,ingredients
auntie's hot xmas punch,"apple juice, cognac, lemon juice, pedro ximenez sherry, peychaud's or other creole-style bitters"
autumn cocktail,"apple juice, bison grass vodka, passion fruit, passion fruit syrup, pasteurised egg white"
autumn punch,"bison grass vodka, brut champagne, lemon juice, passion fruit, passion fruit syrup, pear juice"
avalanche,"banana, banana liqueur, disaronno amaretto, dutch cacao white creme de cacao, milk, single cream / half-and-half"
avalanche shot,"coffee liqueur, dutch cacao white creme de cacao, liqueur"
avenue,"avallen calvados, bourbon whiskey, grenadine syrup, orange bitters, orange flower/blossom water, passion fruit, sugar syrup"
aviation cocktail (difford's recipe),"chilled water, creme de violette liqueur, dry gin, lemon juice, luxardo maraschino liqueur"
aviator #1,"dry gin, lemon juice, luxardo maraschino liqueur, noir de bourgogne cassis, pasteurised egg white"
awol,"green melon liqueur, pineapple juice, vodka, white overproof rum"
azure cocktail,"apple juice, cachaca, cinnamon schnapps & goldwasser liqueurs, lime juice, sugar syrup"
b2c2,"benedictine d.o.m., brut champagne, cognac, triple sec"
b5200,"coffee liqueur, irish cream liqueur, navy rum"
b-52 shot,"coffee liqueur, irish cream liqueur, orange liqueur"
b-53 shot,"coffee liqueur, irish cream liqueur, vodka"
b-54 shot,"coffee liqueur, disaronno amaretto, irish cream liqueur"
b-55 shot,"absinthe, coffee liqueur, irish cream liqueur"
b-52 frozen,"coffee liqueur, irish cream liqueur, orange liqueur"
b & b,"benedictine d.o.m., cognac"
b. j. shot,"irish cream liqueur, orange liqueur"
baby blue cocktail,"blue curacao, dry gin, grapefruit juice, pineapple juice"
baby guinness,"coffee liqueur, irish cream liqueur"
baby woo woo,"cranberry juice, peachtree peach schnapps, vodka"
bacardi cocktail,"grenadine syrup, light rum, lime juice, sugar syrup"
bahama mama,"coconut liqueur, coconut rum liqueur, coffee liqueur, jamaican aged blended rum, lemon juice, overproof aged rum, pineapple juice"
bahamas daiquiri,"coconut rum liqueur, coffee liqueur, lime juice, overproof pot still rum, pineapple juice"
bajan mojito,"lime juice, mint leaves, passion fruit, passoa liqueur, rum, sugar syrup"
bajan passion,"apricot brandy liqueur, lime juice, passion fruit, rum, sugar syrup, vanilla sugar syrup"
bajito,"basil leaves, light rum, lime juice, mint leaves, sugar syrup"
balalaika,"lemon juice, triple sec, vodka"
bald eagle shot,"creme de menthe, tequila"
bald eagle,"cranberry juice, grapefruit juice, lemon juice, lime juice, sugar syrup, tequila"
bali trader,"green banana liqueur, pineapple juice, vodka"
ballet russe,"lime juice, noir de bourgogne cassis, sugar syrup, vodka"
baltic spring punch,"brut champagne, lemon juice, peach, rose petal liqueur, sugar syrup"
baltimore egg nog,"cognac, dark/black/blackstrap rum, egg, milk, rainwater/verdelho med-dry madeira, single cream / half-and-half, sugar syrup"
bamboo (with triple sec),"fino sherry, martini extra dry vermouth, orange bitters, triple sec"
banana bliss,"banana liqueur, bob's abbotts bitters, cognac, oloroso sherry"
banana boomer,"apricot brandy liqueur, banana liqueur, cherry heering cherry brandy liqueur, orange juice, pineapple juice, vodka"
banana colada,"banana, banana liqueur, cream of coconut, light rum, pineapple juice"
banana daiquiri,"banana, banana liqueur, lime juice, rum"
banana so smoothie (non-alcoholic),"apple juice, banana, greek yogurt, honey"
bananas & cream,"banana liqueur, disaronno amaretto, irish cream liqueur, milk, single cream / half-and-half"
banoffee cocktail,"banana, banana liqueur, butterscotch liqueur, maple syrup, milk, single cream / half-and-half, vanilia vodka"
banshee,"banana liqueur, dutch cacao white creme de cacao, single cream / half-and-half"
barbara,"dutch cacao white creme de cacao, milk, single cream / half-and-half, vodka"
barbara west,"amontillado sherry, angostura aromatic bitters, dry gin, lemon juice, sugar syrup"
barbary coast highball,"bourbon whiskey, brown creme de cacao, dry gin, single cream / half-and-half, soda water"
barbary coast,"dry gin, dutch cacao white creme de cacao, single cream / half-and-half, whisky"
barnacle bill,"chilled water, parfait amour liqueur, pernod anise, yellow chartreuse liqueur"
barnamint,"irish cream liqueur, milk, oreo cookies, peppermint pastille creme de menthe, single cream / half-and-half, vanilla ice-cream"
barnum (was right),"angostura aromatic bitters, apricot brandy liqueur, chilled water, dry gin, lemon juice"
bartender's martini,"dry gin, dubonnet red, fino sherry, martini extra dry vermouth, orange liqueur"
bartender's root beer,"coffee liqueur, cola, galliano l'autentico liqueur, lime juice"
basil & honey daiquiri,"basil leaves, honey, light rum, lime juice"
basil beauty,"basil leaves, citroen vodka, coconut sugar syrup, lime juice, passion fruit, pineapple juice"
basil bramble sling,"basil leaves, creme de mure liqueur, dry gin, lemon juice, sugar syrup"
basil grande,"basil leaves, cranberry juice, framboise de ronce, orange liqueur, small ripe strawberries, vodka"
basil mary,"basil leaves, black pepper, celery salt, horseradish sauce, hot pepper sauce, lemon juice, pepper flavoured vodka, tawny port, tomato juice, worcestershire sauce"
basilico,"basil leaves, lemon juice, pallini limoncello liqueur, sugar syrup, vodka"
batida de coco,"cachaca, condensed milk, cream of coconut"
bay breeze,"cranberry juice, pineapple juice, vodka"
bazooka,"banana liqueur, grenadine syrup, liqueur, single cream / half-and-half"
bazooka joe,"banana liqueur, blue curacao, irish cream liqueur"
bbc,"benedictine d.o.m., cognac, single cream / half-and-half"
be-ton,"becherovka liqueur, tonic water"
beach blonde,"banana, orange juice, warninks advocaat liqueur, white overproof rum"
beach iced tea,"cranberry juice, dry gin, lemon juice, light rum, sugar syrup, tequila, triple sec, vodka"
beachcomber,"light rum, lime juice, luxardo maraschino liqueur, sugar syrup, triple sec"
beam-me-up scotty,"banana liqueur, coffee liqueur, irish cream liqueur"
bebbo cocktail,"blood orange juice, dry gin, honey, lemon juice"
bee sting,"apple juice, ginger ale, honey syrup, straight rye whiskey, tequila"
bee's knees (with rum & cream),"honey, light rum, milk, navy rum, orange juice, single cream / half-and-half"
bee's tease,"dry gin, honey syrup, lapsang souchong tea, lemon juice"
beetle jeuse,"apple juice, bison grass vodka, green chartreuse liqueur, mint leaves, passion fruit syrup"
behemoth,"bourbon whiskey, dutch cacao white creme de cacao, lemon juice, maple syrup, pasteurised egg white, peychaud's or other creole-style bitters, straight rye whiskey, sweet vermouth"
beja flor cocktail,"banana liqueur, cachaca, lemon juice, triple sec"
bella donna daiquiri,"dark/black/blackstrap rum, disaronno amaretto, lemon juice, sugar syrup"
bellini (difford's recipe),"lemon juice, peach puree, peachtree peach schnapps, prosecco sparkling wine"
bellini-tini,"peach bitters, peach puree, peachtree peach schnapps, vodka"
bellissimo,"hazelnut liqueur, italian red bitter liqueur, lemon juice, pallini limoncello liqueur"
bentley,"avallen calvados, dubonnet red, peychaud's or other creole-style bitters"
berry caipirinha,"blackberries, blueberries, cachaca, lime, raspberries, small ripe strawberries, white caster sugar"
berry nice,"blackberries, framboise de ronce, ginger beer, lemon juice, vodka"
bessie & jessie,"milk, warninks advocaat liqueur, whisky"
between the sheets,"cognac, lemon juice, light rum, sugar syrup, triple sec"
beverly hills iced tea,"brut champagne, dry gin, lime juice, sugar syrup, triple sec, vodka"
biarritz,"angostura aromatic bitters, cognac, lemon juice, orange liqueur, pasteurised egg white"
big apple martini,"apple schnapps liqueur, sour apple liqueur, vodka"
the big easy,"ginger ale, liqueur, orange juice, triple sec"
bikini martini,"blue curacao, chilled water, dry gin, lemon juice, peachtree peach schnapps"
bingo,"apricot brandy liqueur, lemon juice, orange liqueur, soda water, vodka"
bird of paradise,"disaronno amaretto, dutch cacao white creme de cacao, single cream / half-and-half, tequila"
bishop,"boiling water, clove, honey, orange juice, tawny port"
